timestamp,returns
2020-04-29 04:00:00+00:00,1.0
2020-04-30 04:00:00+00:00,1.0
2020-05-01 04:00:00+00:00,1.0
2020-05-04 04:00:00+00:00,1.0
2020-05-05 04:00:00+00:00,1.0
2020-05-06 04:00:00+00:00,1.0
2020-05-07 04:00:00+00:00,1.0
2020-05-08 04:00:00+00:00,1.0
2020-05-11 04:00:00+00:00,1.0
2020-05-12 04:00:00+00:00,1.0
2020-05-13 04:00:00+00:00,1.0
2020-05-14 04:00:00+00:00,1.0
2020-05-15 04:00:00+00:00,1.0
2020-05-18 04:00:00+00:00,1.0
2020-05-19 04:00:00+00:00,1.0
2020-05-20 04:00:00+00:00,1.0
2020-05-21 04:00:00+00:00,1.0
2020-05-22 04:00:00+00:00,1.0
2020-05-26 04:00:00+00:00,1.0
2020-05-27 04:00:00+00:00,1.0
2020-05-28 04:00:00+00:00,1.0
2020-05-29 04:00:00+00:00,1.0
2020-06-01 04:00:00+00:00,1.0
2020-06-02 04:00:00+00:00,1.0
2020-06-03 04:00:00+00:00,1.0
2020-06-04 04:00:00+00:00,1.0
2020-06-05 04:00:00+00:00,1.0
2020-06-08 04:00:00+00:00,1.0
2020-06-09 04:00:00+00:00,1.0
2020-06-10 04:00:00+00:00,1.0
2020-06-11 04:00:00+00:00,1.0
2020-06-12 04:00:00+00:00,1.0
2020-06-15 04:00:00+00:00,1.0
2020-06-16 04:00:00+00:00,1.0
2020-06-17 04:00:00+00:00,1.0
2020-06-18 04:00:00+00:00,1.0
2020-06-19 04:00:00+00:00,1.0
2020-06-22 04:00:00+00:00,1.0
2020-06-23 04:00:00+00:00,1.0
2020-06-24 04:00:00+00:00,1.0
2020-06-25 04:00:00+00:00,1.0
2020-06-26 04:00:00+00:00,1.0
2020-06-29 04:00:00+00:00,1.0
2020-06-30 04:00:00+00:00,1.0
2020-07-01 04:00:00+00:00,1.0
2020-07-02 04:00:00+00:00,1.0
2020-07-06 04:00:00+00:00,1.0
2020-07-07 04:00:00+00:00,1.0
2020-07-08 04:00:00+00:00,1.0
2020-07-09 04:00:00+00:00,1.0
2020-07-10 04:00:00+00:00,1.0
2020-07-13 04:00:00+00:00,1.0
2020-07-14 04:00:00+00:00,1.0
2020-07-15 04:00:00+00:00,1.0
2020-07-16 04:00:00+00:00,1.0
2020-07-17 04:00:00+00:00,1.0
2020-07-20 04:00:00+00:00,1.0
2020-07-21 04:00:00+00:00,1.0
2020-07-22 04:00:00+00:00,1.0
2020-07-23 04:00:00+00:00,1.0
2020-07-24 04:00:00+00:00,1.0
2020-07-27 04:00:00+00:00,1.0
2020-07-28 04:00:00+00:00,1.0
2020-07-29 04:00:00+00:00,1.0
2020-07-30 04:00:00+00:00,1.0
2020-07-31 04:00:00+00:00,1.0
2020-08-03 04:00:00+00:00,1.0
2020-08-04 04:00:00+00:00,1.0
2020-08-05 04:00:00+00:00,1.0
2020-08-06 04:00:00+00:00,1.0
2020-08-07 04:00:00+00:00,1.0
2020-08-10 04:00:00+00:00,1.0
2020-08-11 04:00:00+00:00,1.0
2020-08-12 04:00:00+00:00,1.0
2020-08-13 04:00:00+00:00,1.0
2020-08-14 04:00:00+00:00,1.0
2020-08-17 04:00:00+00:00,1.0
2020-08-18 04:00:00+00:00,1.0
2020-08-19 04:00:00+00:00,1.0
2020-08-20 04:00:00+00:00,1.0
2020-08-21 04:00:00+00:00,1.0
2020-08-24 04:00:00+00:00,1.0
2020-08-25 04:00:00+00:00,1.0
2020-08-26 04:00:00+00:00,1.0
2020-08-27 04:00:00+00:00,1.0
2020-08-28 04:00:00+00:00,1.0
2020-08-31 04:00:00+00:00,1.0
2020-09-01 04:00:00+00:00,1.0
2020-09-02 04:00:00+00:00,1.0
2020-09-03 04:00:00+00:00,1.0
2020-09-04 04:00:00+00:00,1.0
2020-09-08 04:00:00+00:00,1.0
2020-09-09 04:00:00+00:00,1.0
2020-09-10 04:00:00+00:00,1.0
2020-09-11 04:00:00+00:00,1.0
2020-09-14 04:00:00+00:00,1.0
2020-09-15 04:00:00+00:00,1.0
2020-09-16 04:00:00+00:00,1.0
2020-09-17 04:00:00+00:00,1.0
2020-09-18 04:00:00+00:00,1.0
2020-09-21 04:00:00+00:00,1.0
2020-09-22 04:00:00+00:00,1.0
2020-09-23 04:00:00+00:00,1.0
2020-09-24 04:00:00+00:00,1.0
2020-09-25 04:00:00+00:00,1.0
2020-09-28 04:00:00+00:00,1.0
2020-09-29 04:00:00+00:00,1.0
2020-09-30 04:00:00+00:00,1.0
2020-10-01 04:00:00+00:00,1.0
2020-10-02 04:00:00+00:00,1.0
2020-10-05 04:00:00+00:00,1.0
2020-10-06 04:00:00+00:00,1.0
2020-10-07 04:00:00+00:00,1.0
2020-10-08 04:00:00+00:00,1.0
2020-10-09 04:00:00+00:00,1.0
2020-10-12 04:00:00+00:00,1.0
2020-10-13 04:00:00+00:00,1.0
2020-10-14 04:00:00+00:00,1.0
2020-10-15 04:00:00+00:00,1.0
2020-10-16 04:00:00+00:00,1.0
2020-10-19 04:00:00+00:00,1.0
2020-10-20 04:00:00+00:00,1.0
2020-10-21 04:00:00+00:00,1.0
2020-10-22 04:00:00+00:00,1.0
2020-10-23 04:00:00+00:00,1.0
2020-10-26 04:00:00+00:00,1.0
2020-10-27 04:00:00+00:00,1.0
2020-10-28 04:00:00+00:00,1.0
2020-10-29 04:00:00+00:00,1.0
2020-10-30 04:00:00+00:00,1.0
2020-11-02 05:00:00+00:00,1.0
2020-11-03 05:00:00+00:00,1.0
2020-11-04 05:00:00+00:00,1.0
2020-11-05 05:00:00+00:00,1.0
2020-11-06 05:00:00+00:00,1.0
2020-11-09 05:00:00+00:00,1.0
2020-11-10 05:00:00+00:00,1.0
2020-11-11 05:00:00+00:00,1.0
